preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
Olsalazine,DRUG,DDInter,Olsalazine,,,,DDInter1334
Omacetaxine mepesuccinate,DRUG,DDInter,Omacetaxine mepesuccinate,,,,DDInter1335
Omadacycline,DRUG,DDInter,Omadacycline,,,,DDInter1336
Omalizumab,DRUG,DDInter,Omalizumab,,,,DDInter1337
Omega-3 fatty acids,DRUG,DDInter,Omega-3 fatty acids,,,,DDInter1339
Atovaquone,DRUG,DDInter,Atovaquone,,,,DDInter134
Omeprazole,DRUG,DDInter,Omeprazole,,,,DDInter1340
Onasemnogene abeparvovec,DRUG,DDInter,Onasemnogene abeparvovec,,,,DDInter1341
Ondansetron,DRUG,DDInter,Ondansetron,,,,DDInter1342
Opicapone,DRUG,DDInter,Opicapone,,,,DDInter1343
Opium,DRUG,DDInter,Opium,,,,DDInter1344
Oprelvekin,DRUG,DDInter,Oprelvekin,,,,DDInter1345
