preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Selegilina Cloridrato,selegilina,N04BD01,N04BD,N04BD,N04BD01,N04BD01,9639,,
Selenio,selenio,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Selenio-75Se-Acido Tauroselcolico,selenio-75se-acido tauroselcolico,V09DX01,V09DX,V09DX,V09DX01,V09DX01,,,
Selexipag,selexipag,B01AC27,B01AC,B01AC,B01AC27,B01AC27,1729002,DDInter1656,1.000000
Selinexor,selinexor,L01XX66,L01XX,L01XX,L01XX66,L01XX66,2178390,DDInter1657,1.000000
Selpercatinib,selpercatinib,L01EX22,L01EX,L01EX,L01EX22,L01EX22,2370147,DDInter1658,1.000000
Selumetinib,selumetinib,L01EE04,L01EE,L01EE,L01EE04,L01EE04,2289380,DDInter1659,1.000000
Semaglutide,semaglutide,A10BJ06,A10BJ,A10BJ,A10BJ06,A10BJ06,1991302,DDInter1660,1.000000
Senecio Aureus,senecio aureus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Senega,senega,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Senna,senna,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Senna Estratto Secco,senna estratto secco,A06AB06,A06AB,A06AB,A06AB06,A06AB06,36387,,
Senna Foglia,senna foglia,A06AB06,A06AB,A06AB,A06AB06,A06AB06,36387,,
Senna Foglia (Glucosidi Puri),senna foglia (glucosidi puri),A06AB06,A06AB,A06AB,A06AB06,A06AB06,36387,,
Sennosidi A E B,sennosidi a e b,A06AB06,A06AB,A06AB,A06AB06,A06AB06,36387,,
Serplulimab,serplulimab,L01FF12,L01FF,L01FF,L01FF12,L01FF12,,,
Sertaconazolo Nitrato,sertaconazolo,D01AC14,,D01AC|G01AF,,D01AC14|G01AF19,36435,,
Sertralina,sertralina,N06AB06,N06AB,N06AB,N06AB06,N06AB06,36437,,
Setmelanotide,setmelanotide,A08AA12,A08AA,A08AA,A08AA12,A08AA12,2469247,,
Sevelamer,sevelamer,V03AE02,V03AE,V03AE,V03AE02,V03AE02,214824,DDInter1663,1.000000
Sevelamer Carbonato,sevelamer carbonato,V03AE02,V03AE,V03AE,V03AE02,V03AE02,660890,,
Sevoflurano,sevoflurano,N01AB08,N01AB,N01AB,N01AB08,N01AB08,36453,,
Sferoidi Di Condrociti Umani Autologhi Associati Alla Matrice,sferoidi di condrociti umani autologhi associati alla matrice,M09AX02,M09AX,M09AX,M09AX02,M09AX02,,,
Sildenafil,sildenafil,G04BE03,G04BE,G04BE,G04BE03,G04BE03,136411,DDInter1666,1.000000
Silicea,silicea,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Silimarina (Silybum Marianum L.Gaertner),silimarina (silybum marianum l.gaertner),A05BA03,A05BA,A05BA,A05BA03,A05BA03,,,
Silodosin,silodosin,G04CA04,G04CA,G04CA,G04CA04,G04CA04,720825,DDInter1667,1.000000
Silodosina,silodosina,G04CA04,G04CA,G04CA,G04CA04,G04CA04,720825,,
Siltuximab,siltuximab,L04AC11,L04AC,L04AC,L04AC11,L04AC11,1535218,DDInter1668,1.000000
Simeticone,simeticone,A03AX13,A03AX,A03AX,A03AX13,A03AX13,,DDInter1674,0.952381
Simoctocog Alfa,simoctocog alfa,B02BD02,B02BD,B02BD,B02BD02,B02BD02,1729084,,
Simvastatina,simvastatina,C10AA01,C10AA,C10AA,C10AA01,C10AA01,36567,DDInter1675,0.956522
Sinapis Nigra,sinapis nigra,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sinecatechina,sinecatechina,D06BB12,D06BB,D06BB,D06BB12,D06BB12,753346,,
Sipavibart,sipavibart,J06BD09,J06BD,J06BD,J06BD09,J06BD09,,,
Siponimod,siponimod,L04AE03,L04AE,L04AE,L04AE03,L04AE03,2121085,DDInter1676,1.000000
Sirolimus,sirolimus,L04AH01,L04AH,L04AH,L04AH01,L04AH01,35302,DDInter1678,1.000000
Sitagliptin,sitagliptin,A10BH01,A10BH,A10BH,A10BH01,A10BH01,593411,DDInter1679,1.000000
Sitagliptin Malato,sitagliptin malato,A10BH01,A10BH,A10BH,A10BH01,A10BH01,593411,,
"Smallpox And Monkeypox Vaccine, Live, Non-Replicating","smallpox and monkeypox vaccine, live, non-replicating",J07BX,J07BX,J07BX,J07BX,J07BX,,,
Sobrerolo,sobrerolo,R05CB07,R05CB,R05CB,R05CB07,R05CB07,36669,,
Sodio Acetato,sodio,V07AC,,B05XA|V07AC,,V07AC|B05XA08,56443,,
Sodio Ascorbato,sodio ascorbato,A11GA01,A11GA,A11GA,A11GA01,A11GA01,,,
Sodio Fosfato Bibasico Dodecaidrato,sodio bibasico,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sodio Bicarbonato,sodio bicarbonato,B05BB01,,A02AH|B05BB|B05XA|B05ZB,,B05BB01|B05XA02|B05ZB|A02AH,,,
Sodio Cloruro,sodio cloruro,B05BB01,,B05BB|B05CB|B05XA|V07AB,,B05BB01|V07AB|B05XA03|B05CB01,,,
Sodio Cromoglicato,sodio cromoglicato,S01GX01,S01GX,S01GX,S01GX01,S01GX01,,,
Sodio Diidrogeno Fosfato Diidrato,sodio diidrogeno,A06AG01,A06AG,A06AG,A06AG01,A06AG01,,,
Sodio Fenilbutirrato,sodio fenilbutirrato,A16AX03,A16AX,A16AX,A16AX03,A16AX03,,,
Sodio Ferrigluconato,sodio ferrigluconato,B03AB,B03AB,B03AB,B03AB,B03AB,,,
Sodio Fluoruro,sodio fluoruro,A01AA,,A01AA|V09IX,,A01AA|A01AA01|V09IX06,,,
Sodio Glicerofosfato,sodio glicerofosfato,B05XA14,B05XA,B05XA,B05XA14,B05XA14,,,
Sodio Ialuronato,sodio ialuronato,S01XA20,,M09AX|S01XA,,S01XA20|M09AX01,,,
Sodio Indigotindisolfonato,sodio indigotindisolfonato,V04CH02,V04CH,V04CH,V04CH02,V04CH02,325514,,
Sodio Ioduro (123-I)*,sodio ioduro (123-i)*,V09FX02,V09FX,V09FX,V09FX02,V09FX02,,,
Sodio Ioduro 131I,sodio ioduro 131i,V09FX03,,V09FX|V10XA,,V09FX03|V10XA01,,,
Sodio Ipoclorito,sodio ipoclorito,D08AX07,D08AX,D08AX,D08AX07,D08AX07,,,
Sodio Lattato,sodio lattato,B05XA49,B05XA,B05XA,,B05XA49|B05XA,,,
Sodio Molibdato (99 Mo)*,sodio molibdato (99 mo)*,V09FX01,V09FX,V09FX,V09FX01,V09FX01,,,
Sodio Fosfato Monobasico,sodio monobasico,A06AG01,A06AG,A06AG,A06AG01,A06AG01,,,
Sodio Ossidronato,sodio ossidronato,V09BA01,V09BA,V09BA,V09BA01,V09BA01,,,
Sodio Oxibato,sodio oxibato,N07XX04,,N07BB|N07XX,,N07XX04|N07BB49,,,
Sodio Pertecnetato Tc-99M,sodio pertecnetato tc-99m,V09FX01,V09FX,V09FX,V09FX01,V09FX01,,,
Sodio Picosolfato,sodio picosolfato,A06AB08,A06AB,A06AB,A06AB08,A06AB08,33688,,
Sodio Pirofosfato Decaidrato,sodio pirofosfato,V09GA06,V09GA,V09GA,V09GA06,V09GA06,,,
Sodio Polistirene Solfonato,sodio polistirene solfonato,V03AE01,V03AE,V03AE,V03AE01,V03AE01,,,
Sodio Seleniato Pentaidrato,sodio seleniato,A12CE02,A12CE,A12CE,A12CE02,A12CE02,36717,,
Sodio Tetradecilsolfato,sodio tetradecilsolfato,C05BB04,C05BB,C05BB,C05BB04,C05BB04,9913,,
Sodio Tiosolfato,sodio tiosolfato,V03AB06,V03AB,V03AB,,V03AB06|V,,,
Sodio Valproato,sodio valproato,N03AG01,N03AG,N03AG,N03AG01,N03AG01,40254,,
Sofosbuvir,sofosbuvir,J05AP08,J05AP,J05AP,J05AP08,J05AP08,1484911,DDInter1695,1.000000
Solidago Virgaurea,solidago virgaurea,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Solifenacina,solifenacina,G04BD08,G04BD,G04BD,G04BD08,G04BD08,322167,DDInter1696,0.956522
Solriamfetol,solriamfetol,N06BA14,N06BA,N06BA,N06BA14,N06BA14,2121751,DDInter1697,1.000000
Soluzione Per Dialisi Peritoneale,soluzione per dialisi peritoneale,B05DB,,B05DA|B05DB,,B05DB|B05DA,,,
Soluzione Per Emodiafiltrazione,soluzione per emodiafiltrazione,B05ZB,B05ZB,B05ZB,B05ZB,B05ZB,,,
Soluzione Per Emodialisi,soluzione per emodialisi,B05ZA,B05ZA,B05ZA,B05ZA,B05ZA,,,
Soluzione Per Emofiltrazione,soluzione per emofiltrazione,B05ZB,B05ZB,B05ZB,B05ZB,B05ZB,,,
Somapacitan,somapacitan,H01AC07,H01AC,H01AC,H01AC07,H01AC07,2557373,DDInter1698,1.000000
Somatostatina,somatostatina,H01CB01,,H01CB|V03AX,,H01CB01|V03AX,9939,,
Somatrogon,somatrogon,H01AC08,H01AC,H01AC,H01AC08,H01AC08,2644503,,
Somatropina,somatropina,H01AC01,H01AC,H01AC,H01AC01,H01AC01,61148,,
Sonidegib,sonidegib,L01XJ02,L01XJ,L01XJ,L01XJ02,L01XJ02,1659191,DDInter1701,1.000000
Sorafenib,sorafenib,L01EX02,L01EX,L01EX,L01EX02,L01EX02,495881,DDInter1702,1.000000
Sorafenib Tosilato,sorafenib tosilato,L01EX02,L01EX,L01EX,L01EX02,L01EX02,495881,,
