preferred_label,normalized_label,ATC,atc_link
AFSLAMET,afslamet,L04AX03,L04AX03
AFSTYLA,afstyla,B02BD02,B02BD02
AGAMREE,agamree,H02AB18,H02AB18
AGARICUS MUSCARIUS,agaricus muscarius,V03AX,V03AX
AGEMO,agemo,C10AX06,C10AX06
AGGRASTAT,aggrastat,B01AC17,B01AC17
AGILEV,agilev,J01MA12,J01MA12
AGILUS,agilus,M03CA01,M03CA01
AGIOLAX,agiolax,A06AC51,A06AC51
AGIVERT,agivert,N07CA52,N07CA52
AGLAE,aglae,G03AA16,G03AA16
AGNUCASTON,agnucaston,G02CX03,G02CX03
AGNUS CASTUS,agnus castus,V03AX,V03AX
AGNUS CASTUS DYNAMIS,agnus castus dynamis,V03AX,V03AX
AGOVADIN,agovadin,N07BC05,N07BC05
AGRAPHIS NUTANS,agraphis nutans,V03AX,V03AX
AHZANTIVE,ahzantive,S01LA05,S01LA05
AICISI,aicisi,S01EC04,S01EC04
AIDEX,aidex,N04BD02,N04BD02
AILANTHUS GLANDULOSA DYNAMIS,ailanthus glandulosa dynamis,V03AX,V03AX
AIMAFIX,aimafix,B02BD04,B02BD04
AIMOVIG,aimovig,N02CD01,N02CD01
AIRCORT,aircort,R03BA02|R01AD05,
AIRSALES,airsales,R03AK06,R03AK06
AIRSUS,airsus,R03AK06,R03AK06
AIRSUSGEN,airsusgen,R03AK06,R03AK06
AIRTAL,airtal,M01AB16|M02AA25,
AIRVEN,airven,R03BA08,R03BA08
AISLAR,aislar,R01BA52,R01BA52
AISOSKIN,aisoskin,D10BA01,D10BA01
AJOVY,ajovy,N02CD03,N02CD03
AKANTIOR,akantior,S01AX24,S01AX24
AKEEGA,akeega,L01XK,L01XK
AKELYA,akelya,N05AH04,N05AH04
AKINETON,akineton,N04AA02,N04AA02
AKINETON FIALE,akineton fiale,N04AA02,N04AA02
AKIRAB,akirab,A02BC04,A02BC04
AKLAV,aklav,J01CR02,J01CR02
AKNECUTAN,aknecutan,D10AF51,D10AF51
AKTANOS,aktanos,R01AD08,R01AD08
AKYNZEO,akynzeo,A04AA55,A04AA55
ALABASTER,alabaster,R03AK08,R03AK08
ALACARE,alacare,L01XD04,L01XD04
ALAMUT,alamut,C09BB07,C09BB07
ALAPRIL,alapril,C09AA03,C09AA03
ALAXA,alaxa,A06AB02,A06AB02
