ddinter_id_1,ddinter_id_2,source,severity,description
DDInter100,DDInter233,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Brigatinib.
DDInter100,DDInter240,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Brodalumab.
DDInter100,DDInter246,DDInter,Moderate,DDInter moderate interaction between Budesonide and Anthrax vaccine.
DDInter100,DDInter255,DDInter,Moderate,DDInter moderate interaction between Busulfan and Anthrax vaccine.
DDInter100,DDInter259,DDInter,Moderate,DDInter moderate interaction between Cabazitaxel and Anthrax vaccine.
DDInter100,DDInter27,DDInter,Moderate,DDInter moderate interaction between Adalimumab and Anthrax vaccine.
DDInter100,DDInter281,DDInter,Moderate,DDInter moderate interaction between Canakinumab and Anthrax vaccine.
DDInter100,DDInter285,DDInter,Moderate,DDInter moderate interaction between Capecitabine and Anthrax vaccine.
DDInter100,DDInter298,DDInter,Moderate,DDInter moderate interaction between Carboplatin and Anthrax vaccine.
DDInter100,DDInter299,DDInter,Moderate,DDInter moderate interaction between Carfilzomib and Anthrax vaccine.
DDInter100,DDInter302,DDInter,Moderate,DDInter moderate interaction between Carmustine and Anthrax vaccine.
DDInter100,DDInter33,DDInter,Moderate,DDInter moderate interaction between Aflibercept and Anthrax vaccine.
DDInter100,DDInter342,DDInter,Moderate,DDInter moderate interaction between Certolizumab pegol and Anthrax vaccine.
DDInter100,DDInter350,DDInter,Moderate,DDInter moderate interaction between Chlorambucil and Anthrax vaccine.
DDInter100,DDInter38,DDInter,Moderate,DDInter moderate interaction between Aldesleukin and Anthrax vaccine.
DDInter100,DDInter387,DDInter,Moderate,DDInter moderate interaction between Cisplatin and Anthrax vaccine.
DDInter100,DDInter392,DDInter,Moderate,DDInter moderate interaction between Cladribine and Anthrax vaccine.
DDInter100,DDInter40,DDInter,Moderate,DDInter moderate interaction between Alefacept and Anthrax vaccine.
DDInter100,DDInter405,DDInter,Moderate,DDInter moderate interaction between Clofarabine and Anthrax vaccine.
DDInter100,DDInter41,DDInter,Moderate,DDInter moderate interaction between Alemtuzumab and Anthrax vaccine.
DDInter100,DDInter425,DDInter,Moderate,DDInter moderate interaction between Cobimetinib and Anthrax vaccine.
DDInter100,DDInter441,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Copanlisib.
DDInter100,DDInter445,DDInter,Moderate,DDInter moderate interaction between Corticotropin and Anthrax vaccine.
DDInter100,DDInter456,DDInter,Moderate,DDInter moderate interaction between Cyclophosphamide and Anthrax vaccine.
DDInter100,DDInter458,DDInter,Moderate,DDInter moderate interaction between Cyclosporine and Anthrax vaccine.
DDInter100,DDInter460,DDInter,Moderate,DDInter moderate interaction between Cytarabine and Anthrax vaccine.
DDInter100,DDInter463,DDInter,Moderate,DDInter moderate interaction between Dacarbazine and Anthrax vaccine.
DDInter100,DDInter466,DDInter,Moderate,DDInter moderate interaction between Dactinomycin and Anthrax vaccine.
DDInter100,DDInter478,DDInter,Moderate,DDInter moderate interaction between Daratumumab and Anthrax vaccine.
DDInter100,DDInter484,DDInter,Moderate,DDInter moderate interaction between Dasatinib and Anthrax vaccine.
DDInter100,DDInter485,DDInter,Moderate,DDInter moderate interaction between Daunorubicin and Anthrax vaccine.
DDInter100,DDInter486,DDInter,Moderate,DDInter moderate interaction between Daunorubicin (liposomal) and Anthrax vaccine.
DDInter100,DDInter487,DDInter,Moderate,DDInter moderate interaction between Decitabine and Anthrax vaccine.
DDInter100,DDInter492,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Deflazacort.
DDInter100,DDInter499,DDInter,Moderate,DDInter moderate interaction between Denileukin diftitox and Anthrax vaccine.
DDInter100,DDInter5,DDInter,Moderate,DDInter moderate interaction between Abatacept and Anthrax vaccine.
DDInter100,DDInter513,DDInter,Moderate,DDInter moderate interaction between Dexamethasone and Anthrax vaccine.
DDInter100,DDInter564,DDInter,Moderate,DDInter moderate interaction between Dimethyl fumarate and Anthrax vaccine.
DDInter100,DDInter568,DDInter,Moderate,DDInter moderate interaction between Dinutuximab and Anthrax vaccine.
