preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
ACICLOVIR,DRUG,AIFA anagrafica farmaci,ACICLOVIR,028231025|028242016|028242028|028242042|028242055|028242093|028467025|028467037|028467049|028467064|028467076|028528014|028528026|028528038|028528040|028528053|028528077|028614055|028614081|028614129|028614156|028920015|028920027|028920039|028920041|032307011|032307023|032307035|032307047|032307050|032307086|033471018|033471020|033471032|033482023|033482035|033482047|033551021|033551045|033551058|033551060|033551072|033731011|033731035|033731047|033731050|033868011|033868023|033868035|034583017|034583031|034738017|034738031|034738043|034738056|034738068|035005014|035853035|036035018|036035020|036035032|036035044|036110017|036110029|036110043|036110056|037868015|037868027|038942025|038942037|039105010|039105022|039663012|040607018|041149028|041535016|041535028|042187017|046032013|046032025|046032037|046032049|046032052|046032064|046032076|046277012|046277024|046277036|046277048|046277051|046277063|046277075|046277087|049354020|049547019|050312014|050312026|050312038,D06BB03|J05AB01|S01AD03,,
ACICLOVIR ABC,DRUG,AIFA anagrafica farmaci,ACICLOVIR ABC,033482023|033482035|033482047,D06BB03|J05AB01,,
ACICLOVIR ALMUS,DRUG,AIFA anagrafica farmaci,ACICLOVIR ALMUS,033868011|033868023|033868035,D06BB03|J05AB01,,
ACICLOVIR ALMUS PHARMA,DRUG,AIFA anagrafica farmaci,ACICLOVIR ALMUS PHARMA,040607018,D06BB03,,
ACICLOVIR ALTER,DRUG,AIFA anagrafica farmaci,ACICLOVIR ALTER,036110017|036110029|036110043|036110056,D06BB03|J05AB01,,
ACICLOVIR AUROBINDO,DRUG,AIFA anagrafica farmaci,ACICLOVIR AUROBINDO,036035018|036035020|036035032|036035044,D06BB03|J05AB01,,
ACICLOVIR AUROBINDO ITALIA,DRUG,AIFA anagrafica farmaci,ACICLOVIR AUROBINDO ITALIA,035853035,D06BB03,,
ACICLOVIR AUROBINDO PHARMA,DRUG,AIFA anagrafica farmaci,ACICLOVIR AUROBINDO PHARMA,046032013|046032025|046032037|046032049|046032052|046032064|046032076,J05AB01,,
ACICLOVIR DOC GENERICI,DRUG,AIFA anagrafica farmaci,ACICLOVIR DOC GENERICI,033551021|033551045|033551058|033551060|033551072,D06BB03|J05AB01,,
ACICLOVIR DOROM,DRUG,AIFA anagrafica farmaci,ACICLOVIR DOROM,028467025|028467037|028467049|028467064|028467076,D06BB03|J05AB01,,
ACICLOVIR EG,DRUG,AIFA anagrafica farmaci,ACICLOVIR EG,032307011|032307023|032307035|032307047|032307050|032307086,D06BB03|J05AB01,,
ACICLOVIR HIKMA,DRUG,AIFA anagrafica farmaci,ACICLOVIR HIKMA,043130018|043130020|043130032|043130044,J05AB01,,
ACICLOVIR MYLAN GENERICS,DRUG,AIFA anagrafica farmaci,ACICLOVIR MYLAN GENERICS,034738017|034738031|034738043|034738056|034738068,D06BB03|J05AB01,,
ACICLOVIR NORIDEM,DRUG,AIFA anagrafica farmaci,ACICLOVIR NORIDEM,050404019|050404021|050404033|050404045|050404058|050404060,J05AB01,,
ACICLOVIR PENSA,DRUG,AIFA anagrafica farmaci,ACICLOVIR PENSA,034583017|034583031,D06BB03|J05AB01,,
ACICLOVIR PENSA PHARMA,DRUG,AIFA anagrafica farmaci,ACICLOVIR PENSA PHARMA,050312014|050312026|050312038,J05AB01,,
ACICLOVIR SALE SODICO,DRUG,AIFA anagrafica farmaci,ACICLOVIR SALE SODICO,043130018|043130020|043130032|043130044|050404019|050404021|050404033|050404045|050404058|050404060,J05AB01,,
ACICLOVIR SANDOZ,DRUG,AIFA anagrafica farmaci,ACICLOVIR SANDOZ,033731011|033731035|033731047|033731050,D06BB03|J05AB01,,
ACICLOVIR ZENTIVA,DRUG,AIFA anagrafica farmaci,ACICLOVIR ZENTIVA,046277012|046277024|046277036|046277048|046277051|046277063|046277075|046277087,J05AB01,,
ACIDI OMEGA 3 ESTERI ETILICI 90,DRUG,AIFA anagrafica farmaci,ACIDI OMEGA 3 ESTERI ETILICI 90,040710016|040710028|040710030|040710042|040710055|040710067|040710079|040710081|042637013|042637025|042638015|042638027|042639017|042639029|042825012|042825036|042907016|042907028|042907030|042907042|042907055|042907067|042907079|042907081|042907093|042907105|042907117|042907129|042907131|042907143|042907156|042907168|044915015|044915027|045645013|045645025|048331019|048331021|048819015|048819027|049309014|049309026,C10AX06,,
ACIDI OMEGA-3 TRIGLICERIDI,DRUG,AIFA anagrafica farmaci,ACIDI OMEGA-3 TRIGLICERIDI,036735013|036735025|036735037|036735049|036735052|036735064|036735076|036735088|036735090|036735102|036735114|036735126|036735138,B05BA02,,
ACIDI OMEGA-3 TRIGLICERIDI/TRIGLICERIDI A MEDIA CATENA/OLIO DI SOIA,DRUG,AIFA anagrafica farmaci,ACIDI OMEGA-3 TRIGLICERIDI/TRIGLICERIDI A MEDIA CATENA/OLIO DI SOIA,036735025|036735049|036735064|036735076|036735088|036735090|036735102|036735114|036735126|036735138,B05BA02,,
ACIDO  IBANDRONICO PENSA,DRUG,AIFA anagrafica farmaci,ACIDO  IBANDRONICO PENSA,040833016|040833028,M05BA06,,
ACIDO 4-OSSOPENTANOICO,DRUG,AIFA anagrafica farmaci,ACIDO 4-OSSOPENTANOICO,046075014|046075026,B05XA16,,
ACIDO 5-AMINOLEVULINICO,DRUG,AIFA anagrafica farmaci,ACIDO 5-AMINOLEVULINICO,039701014|039701026,L01XD04,,
